,EventID,Incidents,StartTime,InteractionID,OriginInteractionID,DetectorID,ElapsedTime,x,y,z,OriginalParticleID,NewParticleID,Energy
136,15.0,7145.0,0.036806079,2.0,1.0,1.6,2.3422481297749e-08,23.30172,-38.27396,100.6584,6.0,6012.0,195.6741
137,15.0,7145.0,0.036806079,3.0,1.0,0.0,4.9983959338019e-08,30.89868,15.11259,-59.11764,6.0,12026.0,303.5145
138,15.0,7145.0,0.036806079,4.0,1.0,0.0,4.9983959338019e-08,30.89868,15.11259,-59.11764,6.0,1.0,164.9311
139,15.0,7145.0,0.036806079,5.0,1.0,0.0,4.9983959338019e-08,30.89868,15.11259,-59.11764,6.0,4.0,2667.492
140,15.0,7145.0,0.036806079,6.0,1.0,0.0,4.9983959338019e-08,30.89868,15.11259,-59.11764,6.0,1.0,3658.521
141,15.0,7145.0,0.036806079,7.0,1.0,0.0,4.9983959338019e-08,30.89868,15.11259,-59.11764,6.0,6.0,6701.903
142,15.0,7145.0,0.036806079,8.0,7.0,0.0,1.7435620315375e-07,87.68175,-116.2217,-478.3351,6.0,0.0,0.0
143,15.0,7145.0,0.036806079,9.0,4.0,2.8,5.0011055316343e-08,31.27539,14.59794,-58.61456,1.0,3.0,131.7671
144,16.0,7392.0,0.038112362,1.0,0.0,0.0,0.0,-54.37586,21.57828,250.0,0.0,6.0,22000.0
145,16.0,7392.0,0.038112362,2.0,1.0,3.1,4.8159549030594e-08,-54.37586,21.57828,-57.06504,6.0,53125.0,312.0159
146,16.0,7392.0,0.038112362,3.0,1.0,3.1,4.8159549030594e-08,-54.37586,21.57828,-57.06504,6.0,1.0,212.4448
147,16.0,7392.0,0.038112362,4.0,1.0,3.1,4.8159549030594e-08,-54.37586,21.57828,-57.06504,6.0,1.0,374.9117
148,16.0,7392.0,0.038112362,5.0,1.0,3.1,4.8159549030594e-08,-54.37586,21.57828,-57.06504,6.0,6.0,534.1041
149,16.0,7392.0,0.038112362,6.0,1.0,3.1,4.8159549030594e-08,-54.37586,21.57828,-57.06504,6.0,6.0,603.0199
150,16.0,7392.0,0.038112362,7.0,1.0,3.1,4.8159549030594e-08,-54.37586,21.57828,-57.06504,6.0,6.0,3653.518
151,16.0,7392.0,0.038112362,8.0,5.0,3.3,9.7458528850923e-08,-76.4312,-7.833329,-23.45335,6.0,4.0,414.2717
152,16.0,7392.0,0.038112362,9.0,5.0,0.0,4.2992554646579e-05,132.6538,-425.7363,-226.1671,6.0,0.0,0.0
153,17.0,7711.0,0.039929577,1.0,0.0,0.0,0.0,-31.36313,31.32045,250.0,0.0,6.0,22000.0
154,17.0,7711.0,0.039929577,2.0,1.0,0.0,2.2427034710359e-08,-31.36313,31.32045,107.0053,6.0,13027.0,656.1826
155,17.0,7711.0,0.039929577,3.0,1.0,0.0,2.2427034710359e-08,-31.36313,31.32045,107.0053,6.0,1.0,66.94255
156,17.0,7711.0,0.039929577,4.0,1.0,0.0,2.2427034710359e-08,-31.36313,31.32045,107.0053,6.0,1.0,217.9021
157,17.0,7711.0,0.039929577,5.0,1.0,0.0,2.2427034710359e-08,-31.36313,31.32045,107.0053,6.0,1.0,1607.901
158,17.0,7711.0,0.039929577,6.0,1.0,0.0,2.2427034710359e-08,-31.36313,31.32045,107.0053,6.0,1.0,4458.67
159,17.0,7711.0,0.039929577,7.0,1.0,0.0,2.2427034710359e-08,-31.36313,31.32045,107.0053,6.0,6.0,14947.03
160,17.0,7711.0,0.039929577,8.0,7.0,1.3,2.2809106129847e-08,-31.72821,29.67636,105.8917,6.0,4.0,5569.666
161,17.0,7711.0,0.039929577,9.0,7.0,1.3,2.3360413564021e-08,-31.97594,28.95512,103.7026,6.0,6012.0,146.0419
162,18.0,8076.0,0.041823123,1.0,0.0,0.0,0.0,-36.1726,23.16117,250.0,0.0,6.0,22000.0
163,18.0,8076.0,0.041823123,2.0,1.0,3.1,4.83124843011e-08,-36.1726,23.16117,-58.04015,6.0,53125.0,171.7452
